name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
Erie Times-News,Erie,Pennsylvania,http://goerie.com,https://www.goerie.com/section/google-news-sitemap,,,,,,,,,,,
The Eugene Register-Guard,Eugene,Oregon,http://registerguard.com,https://www.registerguard.com/section/google-news-sitemap,https://www.registerguard.com/section/google-recent-sitemap,,,,,,,,,,
The Forum of Fargo-Moorhead,Fargo,North Dakota,http://inforum.com,,,,,,,,,,,,
The Fayetteville Observer,Fayetteville,North Carolina,http://www.fayobserver.com,https://www.fayobserver.com/section/google-news-sitemap,,,,,,,,,,,
Acento Latino,Fayetteville,North Carolina,,,,,,,,,,,,,
The Flint Journal,Flint,Michigan,http://www.mlive.com/flint/,https://www.mlive.com/arcio/news-sitemap/,,,,,,,,,,,
Fort Wayne Journal Gazette,Fort Wayne,Indiana,,,,,,,,,,,,,
Fort Wayne News Sentinel,Fort Wayne,Indiana,http://www.news-sentinel.com/,,,,,,,,,,,,
Fort Worth Star-Telegram,Fort Worth,Texas,http://www.star-telegram.com,https://www.star-telegram.com/sitemap/story/googlenews.xml,https://www.star-telegram.com/sitemap/story/update.xml,,,,,,,,,,
The Fresno Bee,Fresno,California,http://www.fresnobee.com/,https://www.fresnobee.com/sitemap/story/googlenews.xml,https://www.fresnobee.com/sitemap/story/update.xml,,,,,,,,,,
Grand Rapids Press,Grand Rapids,Michigan,/wiki/OregonLive.com,,,,,,,,,,,,
News & Record,Greensboro,North Carolina,http://www.greensboro.com,https://www.greensboro.com/tncms/sitemap/news.xml,,,,,,,,,,,
Carolina Peacemaker,Greensboro,North Carolina,http://www.peacemakeronline.com,,,,,,,,,,,,
Rhino Times,Greensboro,North Carolina,http://www.rhinotimes.com,,,,,,,,,,,,
Yes! Weekly,Greensboro,North Carolina,http://yesweekly.com/,https://www.yesweekly.com/tncms/sitemap/news.xml,,,,,,,,,,,
Hartford Courant,Hartford,Connecticut,http://www.courant.com,https://www.courant.com/arcio/news-sitemap/,https://www.courant.com/arcio/sitemap/,https://www.courant.com/arcio/sitemap/?from=100,,,,,,,,,
High Point Enterprise,High Point,North Carolina,http://www.hpenews.com,,,,,,,,,,,,
Honolulu Star-Advertiser,Honolulu,Hawaii,http://www.staradvertiser.com/,,,,,,,,,,,,
Houston Chronicle,Houston,Texas,http://HoustonChronicle.com/,https://www.houstonchronicle.com/sitemap/news/local.xml,https://www.houstonchronicle.com/sitemap/15160000-15165000.xml,,,,,,,,,,
Houston Press,Houston,Texas,http://houstonpress.com,https://www.houstonpress.com/sitemap/content/1,,,,,,,,,,,
The Indianapolis Star,Indianapolis,Indiana,http://www.indystar.com,https://www.indystar.com/news-sitemap.xml,https://www.gannett-cdn.com/sitemaps/PIND/video/video-sitemap-2020-03.xml,,https://www.gannett-cdn.com/sitemaps/PIND/video/video-sitemap-%Y-%m.xml,,,,,,,,
The Florida Times-Union,Jacksonville,Florida,http://jacksonville.com,https://www.jacksonville.com/section/google-news-sitemap,,,,,,,,,,,
Kansas City Star,Kansas City,Missouri,http://www.kansascity.com,https://www.kansascity.com/sitemap/story/googlenews.xml,https://www.kansascity.com/sitemap/story/update.xml,,,,,,,,,,
Knoxville News Sentinel,Knoxville,Tennessee,https://www.knoxnews.com/,https://www.knoxnews.com/news-sitemap.xml,,,,,,,,,,,
Lexington Herald-Leader,Lexington,Kentucky,http://www.kentucky.com/,https://www.kentucky.com/sitemap/story/googlenews.xml,https://www.kentucky.com/sitemap/story/update.xml,,,,,,,,,,
Arkansas Democrat-Gazette,Little Rock,Arkansas,http://www.arkansasonline.com/,,,,,,,,,,,,
