name	loc	city	state	news_wiki	city_wiki	lat	long	url	robots_url	robots_sitemap_urls	sitemap_url1	sitemap_url2	sitemap_url3	sitemap_url_template1	sitemap_url_template2																																																																																																																																																																																																									
The Baltimore Sun	Baltimore, Maryland	Baltimore	Maryland	https://en.wikipedia.org/wiki/The_Baltimore_Sun	https://en.wikipedia.org/wiki/Baltimore,_Maryland	39deg17'N	76deg37'W	http://baltimoresun.com	http://baltimoresun.com/robots.txt	['https://www.baltimoresun.com/arcio/sitemap-index/']	https://www.baltimoresun.com/arcio/news-sitemap/	https://www.baltimoresun.com/arcio/sitemap/?from=100																																																																																																																																																																																																												
Daily Record	Baltimore, Maryland	Baltimore	Maryland	https://en.wikipedia.org/wiki/Daily_Record_(Maryland)	https://en.wikipedia.org/wiki/Baltimore,_Maryland	39deg17'N	76deg37'W	http://www.thedailyrecord.com	http://www.thedailyrecord.com/robots.txt	[]																																																																																																																																																																																																														
The Advocate	Baton Rouge, Louisiana	Baton Rouge	Louisiana	https://en.wikipedia.org/wiki/The_Advocate_(Baton_Rouge)	https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana	30deg26'51''N	91deg10'43''W	http://theadvocate.com	http://theadvocate.com/robots.txt	['https://www.theadvocate.com/sitemap.xml', 'https://www.theadvocate.com/tncms/sitemap/editorial.xml']	https://www.theadvocate.com/tncms/sitemap/news.xml																																																																																																																																																																																																													
The Birmingham News	Birmingham, Alabama	Birmingham	Alabama	https://en.wikipedia.org/wiki/The_Birmingham_News	https://en.wikipedia.org/wiki/Birmingham,_Alabama	33deg39'12''N	86deg48'32''W	http://www.al.com/birmingham/	http://www.al.com/robots.txt	['https://www.al.com/arcio/news-sitemap/']	https://www.al.com/arcio/news-sitemap/																																																																																																																																																																																																													
Idaho Statesman	Boise, Idaho	Boise	Idaho	https://en.wikipedia.org/wiki/Idaho_Statesman	https://en.wikipedia.org/wiki/Boise,_Idaho	43deg36'57''N	116deg12'6''W	http://www.idahostatesman.com/	http://www.idahostatesman.com/robots.txt	['https://www.idahostateman.com/sitemap/story/update.xml', 'https://www.idahostateman.com/sitemap/story/archive.xml', 'https://www.idahostateman.com/sitemap/story/googlenews.xml', 'https://www.idahostateman.com/sitemap/blogpost/update.xml', 'https://www.idahostateman.com/sitemap/blogpost/archive.xml', 'https://www.idahostateman.com/sitemap/blogpost/googlenews.xml', 'https://www.idahostateman.com/sitemap/video/update.xml', 'https://www.idahostateman.com/sitemap/video/archive.xml', 'https://www.idahostateman.com/sitemap/update/sections.xml', 'https://www.idahostateman.com/sitemap/archive/sections.xml']	https://www.idahostatesman.com/sitemap/googlenews/story.xml																																																																																																																																																																																																													
Boston Business Journal	Boston, Massachusetts	Boston	Massachusetts	https://en.wikipedia.org/wiki/Boston_Business_Journal	https://en.wikipedia.org/wiki/Boston,_Massachusetts	42deg21'29''N	71deg03'49''W	http://www.bizjournals.com/boston/	http://www.bizjournals.com/robots.txt	['https://www.bizjournals.com/sitemap.xml', 'https://www.bizjournals.com/sitemap_news.xml']	https://www.bizjournals.com/sitemaps/news/googlenews_boston.xml																																																																																																																																																																																																													
The Boston Globe	Boston, Massachusetts	Boston	Massachusetts	https://en.wikipedia.org/wiki/The_Boston_Globe	https://en.wikipedia.org/wiki/Boston,_Massachusetts	42deg21'29''N	71deg03'49''W	https://www.bostonglobe.com	https://www.bostonglobe.com/robots.txt	['https://www.bostonglobe.com/arcio/sitemap/', 'https://www.bostonglobe.com/arcio/news-sitemap/']	https://www.bostonglobe.com/arcio/news-sitemap/																																																																																																																																																																																																													
Boston Herald	Boston, Massachusetts	Boston	Massachusetts	https://en.wikipedia.org/wiki/Boston_Herald	https://en.wikipedia.org/wiki/Boston,_Massachusetts	42deg21'29''N	71deg03'49''W	http://www.bostonherald.com/	http://www.bostonherald.com/robots.txt	['https://www.bostonherald.com/sitemap.xml']	https://www.bostonherald.com/sitemap.xml?yyyy=2020&mm=03&dd=29				https://www.bostonherald.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d																																																																																																																																																																																																									
The Buffalo News	Buffalo, New York	Buffalo	New York	https://en.wikipedia.org/wiki/The_Buffalo_News	https://en.wikipedia.org/wiki/Buffalo,_New_York	42deg54'17''N	78deg50'58''W	http://www.buffalonews.com	http://www.buffalonews.com/robots.txt	['https://buffalonews.com/sitemap/index.xml']																																																																																																																																																																																																														
The Post and Courier	Charleston, South Carolina	Charleston	South Carolina	https://en.wikipedia.org/wiki/The_Post_and_Courier	https://en.wikipedia.org/wiki/Charleston,_South_Carolina	32deg47'00''N	79deg56'00''W	http://www.postandcourier.com	http://www.postandcourier.com/robots.txt	['https://www.postandcourier.com/sitemap.xml', 'https://www.postandcourier.com/tncms/sitemap/editorial.xml']	https://www.postandcourier.com/tncms/sitemap/news.xml																																																																																																																																																																																																													
The Charlotte Observer	Charlotte, North Carolina	Charlotte	North Carolina	https://en.wikipedia.org/wiki/The_Charlotte_Observer	https://en.wikipedia.org/wiki/Charlotte,_North_Carolina	35deg13'38''N	80deg50'35''W	http://charlotteobserver.com	http://charlotteobserver.com/robots.txt	['https://www.charlotteobserver.com/sitemap/story/update.xml', 'https://www.charlotteobserver.com/sitemap/story/archive.xml', 'https://www.charlotteobserver.com/sitemap/story/googlenews.xml', 'https://www.charlotteobserver.com/sitemap/blogpost/update.xml', 'https://www.charlotteobserver.com/sitemap/blogpost/archive.xml', 'https://www.charlotteobserver.com/sitemap/blogpost/googlenews.xml', 'https://www.charlotteobserver.com/sitemap/video/update.xml', 'https://www.charlotteobserver.com/sitemap/video/archive.xml', 'https://www.charlotteobserver.com/sitemap/update/sections.xml', 'https://www.charlotteobserver.com/sitemap/archive/sections.xml']	https://www.charlotteobserver.com/sitemap/story/googlenews.xml																																																																																																																																																																																																													
Chattanooga Times Free Press	Chattanooga, Tennessee	Chattanooga	Tennessee	https://en.wikipedia.org/wiki/Chattanooga_Times_Free_Press	https://en.wikipedia.org/wiki/Chattanooga,_Tennessee	35deg2'44''N	85deg16'2''W	http://timesfreepress.com/	http://timesfreepress.com/robots.txt	[]																																																																																																																																																																																																														
Chicago Sun-Times	Chicago, Illinois	Chicago	Illinois	https://en.wikipedia.org/wiki/Chicago_Sun-Times	https://en.wikipedia.org/wiki/Chicago,_Illinois	41deg52'55''N	87deg37'40''W	https://chicago.suntimes.com	https://chicago.suntimes.com/robots.txt	['https://chicago.suntimes.com/sitemaps', 'https://chicago.suntimes.com/sitemaps/authors', 'https://chicago.suntimes.com/sitemaps/groups', 'https://chicago.suntimes.com/sitemaps/videos', 'https://chicago.suntimes.com/sitemaps/google_news']	https://chicago.suntimes.com/sitemaps/google_news																																																																																																																																																																																																													
Chicago Tribune	Chicago, Illinois	Chicago	Illinois	https://en.wikipedia.org/wiki/Chicago_Tribune	https://en.wikipedia.org/wiki/Chicago,_Illinois	41deg52'55''N	87deg37'40''W	http://chicagotribune.com	http://chicagotribune.com/robots.txt	['https://www.chicagotribune.com/arcio/sitemap-index/']	https://www.chicagotribune.com/arcio/news-sitemap/																																																																																																																																																																																																													
The Cincinnati Enquirer	Cincinnati, Ohio	Cincinnati	Ohio	https://en.wikipedia.org/wiki/The_Cincinnati_Enquirer	https://en.wikipedia.org/wiki/Cincinnati,_Ohio	39deg6'N	84deg31'W	http://www.cincinnati.com/	http://www.cincinnati.com/robots.txt	['https://www.cincinnati.com/news-sitemap.xml', 'https://www.cincinnati.com/web-sitemap-index.xml', 'https://www.cincinnati.com/video-sitemap-index.xml']	https://www.cincinnati.com/news-sitemap.xml																																																																																																																																																																																																													
City Beat	Cincinnati, Ohio	Cincinnati	Ohio	https://en.wikipedia.org/wiki/Cincinnati_City_Beat	https://en.wikipedia.org/wiki/Cincinnati,_Ohio	39deg6'N	84deg31'W	http://citybeat.com	http://citybeat.com/robots.txt	['https://www.citybeat.com/sitemap.xml', 'https://www.citybeat.com/sitemap-google-news.xml']	https://www.citybeat.com/sitemap-google-news.xml																																																																																																																																																																																																													
Cleveland Scene	Cleveland, Ohio	Cleveland	Ohio	https://en.wikipedia.org/wiki/Cleveland_Scene	https://en.wikipedia.org/wiki/Cleveland,_Ohio	41deg28'56''N	81deg40'11''W	https://www.clevescene.com/	https://www.clevescene.com/robots.txt	['https://www.clevescene.com/cleveland/Sitemap.xml']	https://www.clevescene.com/cleveland/Sitemap.xml?id=News																																																																																																																																																																																																													
The Plain Dealer	Cleveland, Ohio	Cleveland	Ohio	https://en.wikipedia.org/wiki/The_Plain_Dealer	https://en.wikipedia.org/wiki/Cleveland,_Ohio	41deg28'56''N	81deg40'11''W	http://www.cleveland.com/	http://www.cleveland.com/robots.txt	['https://www.cleveland.com/arcio/news-sitemap/']	https://www.cleveland.com/arcio/news-sitemap/																																																																																																																																																																																																													
The Gazette	Colorado Springs, Colorado	Colorado Springs	Colorado	https://en.wikipedia.org/wiki/The_Gazette_(Colorado_Springs)	https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado	38deg50'02''N	104deg49'31''W	http://www.gazette.com	http://www.gazette.com/robots.txt	['https://gazette.com/sitemap.xml']	https://gazette.com/tncms/sitemap/news.xml																																																																																																																																																																																																													
Ledger-Enquirer	Columbus, Georgia	Columbus	Georgia	https://en.wikipedia.org/wiki/Ledger-Enquirer	https://en.wikipedia.org/wiki/Columbus,_Georgia	32deg29'32''N	84deg56'25''W	http://www.ledger-enquirer.com/	http://www.ledger-enquirer.com/robots.txt	['https://www.ledger-enquirer.com/sitemap/story/update.xml', 'https://www.ledger-enquirer.com/sitemap/story/archive.xml', 'https://www.ledger-enquirer.com/sitemap/story/googlenews.xml', 'https://www.ledger-enquirer.com/sitemap/blogpost/update.xml', 'https://www.ledger-enquirer.com/sitemap/blogpost/archive.xml', 'https://www.ledger-enquirer.com/sitemap/blogpost/googlenews.xml', 'https://www.ledger-enquirer.com/sitemap/video/update.xml', 'https://www.ledger-enquirer.com/sitemap/video/archive.xml', 'https://www.ledger-enquirer.com/sitemap/update/sections.xml', 'https://www.ledger-enquirer.com/sitemap/archive/sections.xml']	https://www.ledger-enquirer.com/sitemap/story/googlenews.xml	https://www.ledger-enquirer.com/sitemap/story/update.xml																																																																																																																																																																																																												
The Columbus Dispatch	Columbus, Ohio	Columbus	Ohio	https://en.wikipedia.org/wiki/The_Columbus_Dispatch	https://en.wikipedia.org/wiki/Columbus,_Ohio	39deg57'44''N	83deg00'02''W	http://dispatch.com	http://dispatch.com/robots.txt	['http://dispatch.com/section/google-news-sitemap', 'http://dispatch.com/section/google-recent-sitemap-index', 'http://dispatch.com/section/google-sitemap-index', 'http://dispatch.com/section/google-gal-sitemap-index', 'http://dispatch.com/section/google-zz-sitemap-index']	https://www.dispatch.com/section/google-recent-sitemap																																																																																																																																																																																																													
Corpus Christi Caller-Times	Corpus Christi, Texas	Corpus Christi	Texas	https://en.wikipedia.org/wiki/Corpus_Christi_Caller-Times	https://en.wikipedia.org/wiki/Corpus_Christi,_Texas	27deg44'34''N	97deg24'7''W	http://caller.com	http://caller.com/robots.txt	['https://www.caller.com/news-sitemap.xml', 'https://www.caller.com/web-sitemap-index.xml', 'https://www.caller.com/video-sitemap-index.xml']	https://www.caller.com/news-sitemap.xml																																																																																																																																																																																																													
The Dallas Morning News	Dallas, Texas	Dallas	Texas	https://en.wikipedia.org/wiki/The_Dallas_Morning_News	https://en.wikipedia.org/wiki/Dallas,_Texas	32deg46'45''N	96deg48'32''W	https://www.dallasnews.com/	https://www.dallasnews.com/robots.txt	[]																																																																																																																																																																																																														
